metric,mean_SGR,peak_SGR,peak_epoch,final_SGR,final_epoch
LPIPS,12.21,28.71,4,-0.28,49
CLIP,7.42,17.73,4,0.95,49
DINO,21.57,52.04,11,-4.63,49
