name,init_loss,final_loss,reduction_pct,max_delta,best_restart
10.png,0.4952,0.1668,66.3,0.0314,3
11.png,0.3143,0.1556,50.5,0.0314,1
12.png,0.4352,0.2725,37.4,0.0314,2
13.png,0.4424,0.2792,36.9,0.0314,3
14.png,0.1560,0.1353,13.2,0.0314,3
15.png,0.3642,0.1920,47.3,0.0314,3
16.png,0.2722,0.1780,34.6,0.0314,2
17.png,0.3813,0.0831,78.2,0.0314,3
18.png,0.3841,0.2428,36.8,0.0314,2
19.png,0.5502,0.2262,58.9,0.0314,1
